"Observed","Predicted","Data"
3.93,4.62264548802947,"Train"
7.02,5.90810125448029,"Train"
5.62,3.90173501872659,"Train"
3.76,5.94965814393939,"Train"
5.62,6.03437637362637,"Train"
5.12,5.40593027210884,"Train"
8.33,5.45236481481481,"Train"
7.52,4.13716947565543,"Train"
7.87,6.88136223506744,"Train"
6.21,6.66801619047619,"Train"
8.38,6.52672569444444,"Train"
6.01,6.43697950089127,"Train"
6.89,5.51026507092199,"Train"
9.54,5.56820673952641,"Train"
8.7,3.3297737478411,"Train"
7.52,4.80031534090909,"Train"
7.96,6.61853314917127,"Train"
8.29,6.89037684729064,"Train"
8.24,6.8194972972973,"Train"
7.74,6.66187288135593,"Train"
5.57,5.53561343804538,"Train"
7.88,6.05880964912281,"Train"
7.26,4.19754304029304,"Train"
6.86,6.48700177304964,"Train"
5.23,5.70995080321285,"Train"
5.97,4.90079865125241,"Train"
8.92,7.00024352331606,"Train"
6.93,7.10032481060606,"Train"
7.7,7.86595329087049,"Train"
7.84,7.5560987654321,"Train"
5.2,6.19672482638889,"Train"
6.53,4.97351360544218,"Train"
6.34,6.26367777777778,"Train"
9.62,4.87967039106145,"Train"
6.08,5.0319282051282,"Train"
8.5,7.68913963963964,"Train"
8.79,6.84634188034188,"Train"
6.12,7.12559375,"Train"
7.3,6.73947852233677,"Train"
7,4.46435283687943,"Train"
8.19,4.1155137254902,"Train"
8.02,7.80935635359116,"Train"
7.21,6.89162027491409,"Train"
7.63,6.82840246212121,"Train"
8.88,3.74586904761905,"Train"
7.51,6.92064136125654,"Train"
8.62,7.68831574074074,"Train"
6.69,6.66787113402062,"Train"
7.02,7.69439065255732,"Train"
6.8,7.0647238372093,"Train"
8.2,7.25719019607843,"Train"
6.34,5.59400492610837,"Train"
2.69,4.15575220458554,"Train"
3.34,4.32115602836879,"Train"
7.1,4.91207600732601,"Train"
6.38,5.12780615942029,"Train"
7.96,4.30107417582418,"Train"
9.36,7.26750427350427,"Train"
7.07,7.54301421800948,"Train"
5.8,7.4506875,"Train"
4.92,7.25331684981685,"Train"
4.42,7.25614201183432,"Train"
6.82,4.9592204007286,"Train"
7.56,6.2406369982548,"Train"
9.65,6.99603468208092,"Train"
9.03,3.01634990791897,"Train"
3.49,4.35153532608696,"Train"
1.25,4.97631693989071,"Train"
2.58,5.85666454352442,"Train"
1.93,4.77013101604278,"Train"
6.79,5.07139800995025,"Train"
9.07,5.41918115942029,"Train"
6.48,6.58962973484848,"Train"
8.23,6.63131056466302,"Train"
8.3,7.25011044176707,"Train"
4.76,7.26728401360544,"Train"
6.18,6.72559631490787,"Train"
5.53,5.49101807228916,"Train"
2.36,5.3093470790378,"Train"
5.33,4.56887186379928,"Train"
5.36,5.51412307692308,"Train"
3.58,5.15512953367876,"Train"
3.38,5.59662081128748,"Train"
6.2,6.09127450980392,"Train"
4.22,5.58511996336996,"Train"
5.86,4.97827297297297,"Train"
9.03,7.80021176470588,"Train"
7.9,7.80605776515151,"Train"
8.08,7.1769475465313,"Train"
