customer_id,recency_days,number_of_orders,revenue,most_recent_visit
22086,232,9,777,14/05/2020
2290,115,16,1555,08/09/2020
26377,43,5,336,19/11/2020
24650,64,12,1189,29/10/2020
12883,23,12,1229,09/12/2020
2119,72,11,929,21/10/2020
31283,112,17,1569,11/09/2020
33815,142,11,778,12/08/2020
15972,43,9,641,19/11/2020
27650,131,10,970,23/08/2020
4168,266,9,730,10/04/2020
23375,371,9,798,26/12/2019
7460,96,10,980,27/09/2020
31412,170,14,1596,15/07/2020
4298,333,13,1105,02/02/2020
11217,126,7,673,28/08/2020
27435,18,7,793,14/12/2020
22756,246,8,652,30/04/2020
14737,133,12,1081,21/08/2020
38027,181,8,712,04/07/2020
35527,161,11,1060,24/07/2020
21182,152,9,790,02/08/2020
35926,231,13,1248,15/05/2020
2091,284,9,789,23/03/2020
16555,156,8,794,29/07/2020
7868,101,10,700,22/09/2020
16526,150,10,855,04/08/2020
12370,201,6,793,14/06/2020
32863,124,11,793,30/08/2020
11206,154,14,1220,31/07/2020
16677,422,5,220,05/11/2019
2718,78,16,1633,15/10/2020
35549,152,9,812,02/08/2020
39729,77,10,1231,16/10/2020
16563,78,16,1380,15/10/2020
14317,81,9,918,12/10/2020
27557,208,10,981,07/06/2020
16094,410,7,631,17/11/2019
10725,538,6,537,12/07/2019
27531,37,18,1804,25/11/2020
35774,455,9,994,03/10/2019
18357,43,18,1561,19/11/2020
18377,138,9,562,16/08/2020
12558,197,10,909,18/06/2020
2036,11,3,216,21/12/2020
15489,117,11,1185,06/09/2020
1811,109,9,978,14/09/2020
38345,139,9,794,15/08/2020
6116,274,7,450,02/04/2020
30839,38,10,943,24/11/2020
17548,164,8,691,21/07/2020
31140,124,10,1143,30/08/2020
9338,284,3,309,23/03/2020
5437,136,14,1154,18/08/2020
38672,108,10,859,15/09/2020
6662,168,10,1388,17/07/2020
32799,509,6,724,10/08/2019
23565,278,8,1240,29/03/2020
17474,398,11,1256,29/11/2019
20635,87,10,922,06/10/2020
2057,10,11,921,22/12/2020
10176,165,5,370,20/07/2020
7409,316,7,693,19/02/2020
