T36SYB_20220130T082059_B02_20m,T36SYB_20220130T082059_B03_20m,T36SYB_20220130T082059_B04_20m,T36SYB_20220130T082059_B05_20m,T36SYB_20220130T082059_B06_20m,T36SYB_20220130T082059_B07_20m,T36SYB_20220130T082059_B11_20m,T36SYB_20220130T082059_B12_20m,T36SYB_20220130T082059_B8A_20m,Yield
0.1319,0.1611,0.1576,0.2025,0.3976,0.4455,0.2705,0.1933,0.4609,3.93
0.1326,0.1654,0.1465,0.2079,0.4648,0.5244,0.287,0.1944,0.5414,5.41
0.1417,0.1803,0.1562,0.2293,0.4969,0.5562,0.3065,0.2073,0.5851,7.02
0.1446,0.195,0.1608,0.2548,0.4945,0.561,0.3251,0.2172,0.5863,8.1
0.1372,0.166,0.1545,0.2068,0.3398,0.3843,0.2791,0.208,0.3945,5.62
0.1192,0.1371,0.1209,0.1655,0.3789,0.4915,0.2484,0.1747,0.4924,5.82
0.1174,0.1369,0.1159,0.165,0.4121,0.5407,0.2529,0.1744,0.5294,3.76
0.1208,0.1423,0.1211,0.1744,0.4218,0.5334,0.2642,0.1825,0.5317,7.06
0.1257,0.1488,0.1356,0.1877,0.4269,0.5194,0.278,0.1919,0.5287,5.62
0.1364,0.1655,0.1571,0.2071,0.4451,0.5243,0.2945,0.2036,0.5344,7.5
0.1428,0.178,0.165,0.219,0.4662,0.5348,0.3067,0.2094,0.5531,5.12
0.1458,0.1836,0.167,0.231,0.4828,0.5433,0.3156,0.2136,0.576,8.33
0.1329,0.1562,0.1484,0.1955,0.3389,0.3983,0.2724,0.2046,0.4107,7.52
0.1164,0.1348,0.1146,0.16,0.4036,0.5303,0.2441,0.1657,0.5314,7.87
0.1177,0.1377,0.1141,0.163,0.422,0.5418,0.2416,0.1623,0.55,6.21
0.1177,0.1374,0.1138,0.1638,0.4165,0.5471,0.2426,0.1638,0.5577,8.38
0.1186,0.1381,0.1156,0.1646,0.4246,0.5651,0.2466,0.169,0.5697,6.01
0.1187,0.1409,0.116,0.1694,0.4319,0.5801,0.2557,0.1736,0.5742,7.46
0.12,0.1411,0.1148,0.1705,0.4322,0.5787,0.2621,0.1798,0.5686,6.89
0.1202,0.1423,0.1202,0.1778,0.4262,0.5571,0.2711,0.1856,0.5527,9.54
0.1235,0.1488,0.1347,0.1881,0.4201,0.5358,0.2852,0.197,0.5282,5.12
0.1387,0.1684,0.1586,0.2089,0.3411,0.3866,0.2937,0.2164,0.4036,8.7
0.1254,0.1443,0.1337,0.1782,0.3732,0.4677,0.2566,0.1876,0.4769,7.52
0.1179,0.1357,0.1165,0.1598,0.4089,0.5386,0.2427,0.1643,0.5446,7.96
0.1156,0.1354,0.1126,0.1629,0.4149,0.5384,0.2397,0.1618,0.5435,8.29
0.1171,0.1362,0.1135,0.1614,0.4183,0.5415,0.2396,0.162,0.5447,8.24
0.1185,0.1378,0.1155,0.1625,0.4247,0.5528,0.2428,0.1629,0.5587,7.74
0.1171,0.1379,0.1144,0.169,0.4363,0.5641,0.2458,0.1639,0.5723,7.2
0.1179,0.1405,0.1166,0.1701,0.4401,0.5678,0.2464,0.1665,0.5789,5.57
0.1187,0.1385,0.1143,0.1637,0.4395,0.5753,0.2486,0.1652,0.5888,7.88
0.1189,0.1383,0.1173,0.1705,0.4094,0.5523,0.256,0.1739,0.5608,7.37
0.1287,0.1488,0.1457,0.1815,0.3518,0.4319,0.2732,0.1958,0.4298,7.26
0.1152,0.1361,0.1158,0.1624,0.4008,0.5232,0.2445,0.1707,0.5297,6.51
0.1174,0.1362,0.1128,0.1596,0.4166,0.5483,0.2409,0.162,0.5524,9.02
0.1174,0.1352,0.1127,0.1594,0.411,0.5418,0.239,0.1608,0.5502,5.86
0.1171,0.135,0.1136,0.1596,0.4169,0.545,0.2386,0.1609,0.5481,8.4
0.1171,0.137,0.114,0.1627,0.428,0.5608,0.2411,0.1636,0.5639,6.86
0.1201,0.1397,0.1161,0.1728,0.4364,0.5604,0.2471,0.1655,0.5682,5.23
0.1216,0.1488,0.1242,0.176,0.439,0.5583,0.2486,0.1686,0.5596,5.97
0.1205,0.1433,0.1237,0.18,0.4144,0.537,0.2529,0.1765,0.5285,6.53
0.1573,0.1866,0.1902,0.2394,0.3413,0.3804,0.3051,0.2453,0.4062,7.95
0.1179,0.1402,0.1277,0.1708,0.3787,0.4918,0.2588,0.1831,0.4948,7.36
0.116,0.134,0.1143,0.159,0.4128,0.541,0.241,0.163,0.5485,8.92
0.116,0.1356,0.1138,0.1592,0.4223,0.5548,0.241,0.161,0.5566,6.93
